"state","county","countystate","cw1972","isenNA","flag","PNAScount","PNASyears","DATAyears"
"Arizona","Gila","Gila, Arizona",,,"PNAS",215,10,10
"Arizona","Greenlee","Greenlee, Arizona",,,"PNAS",84,10,8
"Arizona","Maricopa","Maricopa, Arizona",,,"PNAS",26294,11,11
"Arizona","Mohave","Mohave, Arizona",,,"PNAS",625,10,10
"Arizona","Navajo","Navajo, Arizona",,,"PNAS",644,10,10
"Arizona","Pima","Pima, Arizona",,,"PNAS",5965,11,11
"Arizona","Pinal","Pinal, Arizona",,,"PNAS",472,10,8
"Arizona","Yavapai","Yavapai, Arizona",,,"PNAS",884,10,8
"Arizona","Yuma","Yuma, Arizona",,,"PNAS",1038,10,8
"Arkansas","Miller","Miller, Arkansas",,,"PNAS",194,11,9
"Arkansas","Montgomery","Montgomery, Arkansas",,,"PNAS",45,11,9
"Arkansas","Pulaski","Pulaski, Arkansas",,,"PNAS",3155,11,9
"California","Kern","Kern, California",,,"PNAS",4889,11,3
"California","Santa Clara","Santa Clara, California",,,"PNAS",13649,11,9
"Colorado","Routt","Routt, Colorado",,,"PNAS",159,9,7
"Connecticut","Fairfield","Fairfield, Connecticut",,,"PNAS",7421,11,11
"Connecticut","Hartford","Hartford, Connecticut",,,"PNAS",6812,11,9
"Connecticut","Litchfield","Litchfield, Connecticut",,,"PNAS",1553,11,7
"Connecticut","Middlesex","Middlesex, Connecticut",,,"PNAS",1446,11,7
"Connecticut","New Haven","New Haven, Connecticut",,,"PNAS",6310,11,10
"Connecticut","New London","New London, Connecticut",,,"PNAS",2171,11,7
"Connecticut","Tolland","Tolland, Connecticut",,,"PNAS",1051,11,6
"Connecticut","Windham","Windham, Connecticut",,,"PNAS",646,11,7
"Delaware","Kent","Kent, Delaware",,,"PNAS",976,11,8
"Delaware","New Castle","New Castle, Delaware",,,"PNAS",4332,11,10
"District of Columbia","District of Columbia","District of Columbia, District of Columbia",,,"PNAS",3434,11,10
"Florida","Miami-Dade","Miami-Dade, Florida",,,"PNAS",12919,11,11
"Georgia","Bibb","Bibb, Georgia",,,"PNAS",1257,11,2
"Hawaii","Honolulu","Honolulu, Hawaii",,,"PNAS",7628,11,10
"Idaho","Butte","Butte, Idaho",,,"PNAS",44,11,9
"Idaho","Kootenai","Kootenai, Idaho",,,"PNAS",1929,11,8
"Idaho","Nez Perce","Nez Perce, Idaho",,,"PNAS",286,10,7
"Idaho","Shoshone","Shoshone, Idaho",,,"PNAS",58,11,11
"Illinois","St. Clair","St. Clair, Illinois",,,"PNAS",2256,11,8
"Illinois","Winnebago","Winnebago, Illinois",,,"PNAS",2953,11,8
"Indiana","Delaware","Delaware, Indiana",,,"PNAS",1324,11,6
"Indiana","Floyd","Floyd, Indiana",,,"PNAS",842,11,9
"Indiana","Parke","Parke, Indiana",,,"PNAS",71,11,8
"Iowa","Dubuque","Dubuque, Iowa",,,"PNAS",1434,11,10
"Iowa","Linn","Linn, Iowa",,,"PNAS",2102,11,10
"Iowa","Polk","Polk, Iowa",,,"PNAS",5965,11,9
"Iowa","Scott","Scott, Iowa",,,"PNAS",2145,11,10
"Kansas","Sedgwick","Sedgwick, Kansas",,,"PNAS",3992,11,10
"Kansas","Shawnee","Shawnee, Kansas",,,"PNAS",1894,11,10
"Kansas","Wyandotte","Wyandotte, Kansas",,,"PNAS",1303,11,10
"Kentucky","Boyd","Boyd, Kentucky",,,"PNAS",433,11,11
"Kentucky","Fayette","Fayette, Kentucky",,,"PNAS",2498,11,10
"Kentucky","Jefferson","Jefferson, Kentucky",,,"PNAS",5964,11,10
"Kentucky","Kenton","Kenton, Kentucky",,,"PNAS",1098,11,10
"Kentucky","Warren","Warren, Kentucky",,,"PNAS",820,11,10
"Maine","Cumberland","Cumberland, Maine",,,"PNAS",2531,11,10
"Maryland","Calvert","Calvert, Maryland",,,"PNAS",627,11,9
"Massachusetts","Bristol","Bristol, Massachusetts",,,"PNAS",4524,11,10
"Massachusetts","Hampden","Hampden, Massachusetts",,,"PNAS",3417,11,9
"Massachusetts","Middlesex","Middlesex, Massachusetts",,,"PNAS",13920,11,10
"Massachusetts","Suffolk","Suffolk, Massachusetts",,,"PNAS",3795,11,10
"Massachusetts","Worcester","Worcester, Massachusetts",,,"PNAS",6557,11,10
"Michigan","Genesee","Genesee, Michigan",,,"PNAS",4203,11,9
"Michigan","Ingham","Ingham, Michigan",,,"PNAS",2574,11,9
"Michigan","Kent","Kent, Michigan",,,"PNAS",6595,11,8
"Michigan","Saginaw","Saginaw, Michigan",,,"PNAS",1961,11,9
"Michigan","Wayne","Wayne, Michigan",,,"PNAS",18323,11,8
"Minnesota","Dakota","Dakota, Minnesota",,,"PNAS",5090,9,5
"Minnesota","Hennepin","Hennepin, Minnesota",,,"PNAS",13998,11,10
"Minnesota","Olmsted","Olmsted, Minnesota",,,"PNAS",1835,9,7
"Minnesota","Ramsey","Ramsey, Minnesota",,,"PNAS",5898,11,10
"Minnesota","St. Louis","St. Louis, Minnesota",,,"PNAS",2568,11,10
"Mississippi","Hinds","Hinds, Mississippi",,,"PNAS",1992,11,9
"Mississippi","Jackson","Jackson, Mississippi",,,"PNAS",858,11,7
"Missouri","Jackson","Jackson, Missouri",,,"PNAS",6213,11,7
"Missouri","Shannon","Shannon, Missouri",,,"PNAS",33,11,7
"Missouri","St. Louis","St. Louis, Missouri",,,"PNAS",13037,11,8
"Montana","Cascade","Cascade, Montana",,,"PNAS",819,10,5
"Montana","Deer Lodge","Deer Lodge, Montana",,,"PNAS",78,10,5
"Montana","Jefferson","Jefferson, Montana",,,"PNAS",59,10,5
"Montana","Silver Bow","Silver Bow, Montana",,,"PNAS",292,10,5
"Nebraska","Douglas","Douglas, Nebraska",,,"PNAS",5671,11,10
"Nebraska","Lancaster","Lancaster, Nebraska",,,"PNAS",2921,11,10
"Nebraska","Thomas","Thomas, Nebraska",,,"PNAS",8,11,7
"New Hampshire","Coos","Coos, New Hampshire",,,"PNAS",323,11,10
"New Hampshire","Merrimack","Merrimack, New Hampshire",,,"PNAS",2106,11,10
"New York","Albany","Albany, New York",,,"PNAS",1891,11,9
"New York","Erie","Erie, New York",,,"PNAS",8450,11,9
"New York","Jefferson","Jefferson, New York",,,"PNAS",798,11,9
"New York","Monroe","Monroe, New York",,,"PNAS",7352,11,9
"New York","New York","New York, New York",,,"PNAS",8351,11,9
"New York","Niagara","Niagara, New York",,,"PNAS",1959,11,9
"New York","Oneida","Oneida, New York",,,"PNAS",1544,11,9
"New York","Onondaga","Onondaga, New York",,,"PNAS",4673,11,9
"New York","Westchester","Westchester, New York",,,"PNAS",7552,11,8
"North Dakota","Burleigh","Burleigh, North Dakota",,,"PNAS",847,11,7
"Ohio","Cuyahoga","Cuyahoga, Ohio",,,"PNAS",12865,11,9
"Ohio","Franklin","Franklin, Ohio",,,"PNAS",11680,11,10
"Ohio","Hamilton","Hamilton, Ohio",,,"PNAS",8446,11,9
"Ohio","Jefferson","Jefferson, Ohio",,,"PNAS",553,11,9
"Ohio","Lucas","Lucas, Ohio",,,"PNAS",3179,11,9
"Ohio","Mahoning","Mahoning, Ohio",,,"PNAS",1860,11,10
"Ohio","Montgomery","Montgomery, Ohio",,,"PNAS",5721,11,10
"Ohio","Stark","Stark, Ohio",,,"PNAS",2961,11,10
"Ohio","Summit","Summit, Ohio",,,"PNAS",5252,11,10
"Oklahoma","Mayes","Mayes, Oklahoma",,,"PNAS",240,10,5
"Oklahoma","Oklahoma","Oklahoma, Oklahoma",,,"PNAS",5919,11,9
"Oklahoma","Tulsa","Tulsa, Oklahoma",,,"PNAS",5197,11,10
"Pennsylvania","Allegheny","Allegheny, Pennsylvania",,,"PNAS",14536,11,9
"Pennsylvania","Berks","Berks, Pennsylvania",,,"PNAS",3249,11,10
"Pennsylvania","Blair","Blair, Pennsylvania",,,"PNAS",1078,11,11
"Pennsylvania","Bucks","Bucks, Pennsylvania",,,"PNAS",7373,11,7
"Pennsylvania","Cambria","Cambria, Pennsylvania",,,"PNAS",1162,11,7
"Pennsylvania","Chester","Chester, Pennsylvania",,,"PNAS",4590,11,7
"Pennsylvania","Clarion","Clarion, Pennsylvania",,,"PNAS",378,11,9
"Pennsylvania","Dauphin","Dauphin, Pennsylvania",,,"PNAS",1761,11,11
"Pennsylvania","Erie","Erie, Pennsylvania",,,"PNAS",3021,11,11
"Pennsylvania","Indiana","Indiana, Pennsylvania",,,"PNAS",529,9,6
"Pennsylvania","Lackawanna","Lackawanna, Pennsylvania",,,"PNAS",1476,11,10
"Pennsylvania","Lancaster","Lancaster, Pennsylvania",,,"PNAS",4553,11,10
"Pennsylvania","Lehigh","Lehigh, Pennsylvania",,,"PNAS",2958,11,10
"Pennsylvania","Luzerne","Luzerne, Pennsylvania",,,"PNAS",2135,11,11
"Pennsylvania","Northampton","Northampton, Pennsylvania",,,"PNAS",2561,11,11
"Pennsylvania","Philadelphia","Philadelphia, Pennsylvania",,,"PNAS",10424,11,8
"Pennsylvania","York","York, Pennsylvania",,,"PNAS",3394,11,11
"Puerto Rico","Cataño","Cataño, Puerto Rico",,,"PNAS",32,11,5
"Puerto Rico","Guayanilla","Guayanilla, Puerto Rico",,,"PNAS",28,11,9
"Puerto Rico","Ponce","Ponce, Puerto Rico",,,"PNAS",425,11,9
"Puerto Rico","San Juan","San Juan, Puerto Rico",,,"PNAS",920,11,9
"South Dakota","Custer","Custer, South Dakota",,,"PNAS",53,11,8
"South Dakota","Minnehaha","Minnehaha, South Dakota",,,"PNAS",1714,11,8
"Texas","Brown","Brown, Texas",,,"PNAS",279,9,8
"Texas","Chambers","Chambers, Texas",,,"PNAS",172,11,10
"Texas","Denton","Denton, Texas",,,"PNAS",3848,9,8
"Texas","Ector","Ector, Texas",,,"PNAS",1190,11,10
"Texas","Grayson","Grayson, Texas",,,"PNAS",911,9,8
"Texas","Hays","Hays, Texas",,,"PNAS",681,10,9
"Texas","Howard","Howard, Texas",,,"PNAS",204,10,9
"Texas","Matagorda","Matagorda, Texas",,,"PNAS",309,11,10
"Texas","McLennan","McLennan, Texas",,,"PNAS",2725,11,10
"Texas","Midland","Midland, Texas",,,"PNAS",836,10,9
"Texas","Potter","Potter, Texas",,,"PNAS",511,11,10
"Texas","Taylor","Taylor, Texas",,,"PNAS",912,10,9
"Texas","Tom Green","Tom Green, Texas",,,"PNAS",616,11,11
"Texas","Webb","Webb, Texas",,,"PNAS",1677,11,8
"Utah","Salt Lake","Salt Lake, Utah",,,"PNAS",11213,11,8
"Utah","Weber","Weber, Utah",,,"PNAS",2312,11,8
"Vermont","Chittenden","Chittenden, Vermont",,,"PNAS",1270,11,8
"Vermont","Orange","Orange, Vermont",,,"PNAS",250,11,10
"Virginia","Hampton","Hampton, Virginia",,,"PNAS",1108,11,8
"Virginia","Lynchburg","Lynchburg, Virginia",,,"PNAS",628,11,9
"Virginia","Norfolk","Norfolk, Virginia",,,"PNAS",1481,11,10
"Virginia","Page","Page, Virginia",,,"PNAS",107,11,9
"Virginia","Roanoke","Roanoke, Virginia",,,"PNAS",1274,11,8
"West Virginia","Cabell","Cabell, West Virginia",,,"PNAS",779,11,7
"West Virginia","Hancock","Hancock, West Virginia",,,"PNAS",322,11,
"Wisconsin","Door","Door, Wisconsin",,,"PNAS",340,11,8
"Wyoming","Laramie","Laramie, Wyoming",,,"PNAS",793,11,6
"Wyoming","Natrona","Natrona, Wyoming",,,"PNAS",469,11,5
