"FIPS","Year","Pop"
"01095",1971,55907
"01095",1972,56989
"01095",1973,57996
"01095",1974,59229
"01095",1975,61055
"01095",1976,62115
"01095",1977,63531
"01095",1978,65004
"01095",1979,65018
"01095",1980,65849
"01095",1981,66399
"01097",1969,318498
"01097",1970,318498
"01097",1971,323276
"01097",1972,324318
"01097",1973,324531
"01097",1974,329412
"01097",1975,335237
"01097",1976,344887
"01097",1977,353127
"01097",1978,360079
"01097",1979,361741
"01097",1980,366058
"01097",1981,370438
"01099",1969,20915
"01099",1970,20915
"01099",1971,21108
"01099",1972,20583
"01099",1973,20726
"01099",1974,20690
"01099",1975,20933
"01099",1976,21169
"01099",1977,21395
"01099",1978,22013
"01099",1979,22505
"01099",1980,22637
"01099",1981,22659
"01101",1969,168203
"01101",1970,168203
"01101",1971,169880
"01101",1972,176063
"01101",1973,179279
"01101",1974,182902
"01101",1975,183179
"01101",1976,187016
"01101",1977,188055
"01101",1978,190598
"01101",1979,193392
"01101",1980,197491
"01101",1981,199565
"01103",1969,77895
"01103",1970,77895
"01103",1971,80254
"01103",1972,81255
"01103",1973,82449
"01103",1974,84208
"01103",1975,85502
"01103",1976,86464
"01103",1977,87499
"01103",1978,89193
"01103",1979,90552
"01103",1980,90276
"01103",1981,90112
"01105",1969,15377
"01105",1970,15377
"01105",1971,15349
"01105",1972,15227
"01105",1973,14865
"01105",1974,15180
"01105",1975,14523
"01105",1976,14401
"01105",1977,14534
"01105",1978,14962
"01105",1979,14817
"01105",1980,14969
"01105",1981,14873
"01107",1969,20317
"01107",1970,20317
"01107",1971,20348
"01107",1972,20847
"01107",1973,21340
"01107",1974,21458
"01107",1975,21490
"01107",1976,21509
"01107",1977,21635
"01107",1978,21950
"01107",1979,21839
"01107",1980,21530
"01107",1981,21787
"01109",1969,25050
"01109",1970,25050
"01109",1971,25126
"01109",1972,24579
"01109",1973,25094
"01109",1974,25472
"01109",1975,26345
"01109",1976,26436
"01109",1977,26281
"01109",1978,26736
"01109",1979,27413
"01109",1980,28134
"01109",1981,28503
"01111",1969,18375
"01111",1970,18375
"01111",1971,18592
"01111",1972,18337
"01111",1973,18989
"01111",1974,19187
"01111",1975,19296
"01111",1976,19578
"01111",1977,19637
"01111",1978,19914
"01111",1979,19858
"01111",1980,20106
"01111",1981,20196
"01113",1969,45436
"01113",1970,45436
"01113",1971,45622
"01113",1972,45550
"01113",1973,46342
"01113",1974,45773
"01113",1975,47376
"01113",1976,47888
"01113",1977,48179
"01113",1978,47733
"01113",1979,47778
"01113",1980,47241
"01113",1981,46850
"01115",1969,28270
"01115",1970,28270
"01115",1971,29556
"01115",1972,31270
"01115",1973,32185
"01115",1974,33749
"01115",1975,34791
"01115",1976,36079
"01115",1977,38025
"01115",1978,39296
"01115",1979,40492
"01115",1980,41334
"01115",1981,41726
"01117",1969,38444
"01117",1970,38444
"01117",1971,40112
"01117",1972,42737
"01117",1973,46165
"01117",1974,49841
"01117",1975,51702
"01117",1976,54622
"01117",1977,60196
"01117",1978,63489
"01117",1979,64462
"01117",1980,66937
"01117",1981,69274
"01119",1969,16736
"01119",1970,16736
"01119",1971,15815
"01119",1972,16493
"01119",1973,16695
"01119",1974,16535
"01119",1975,16867
"01119",1976,17154
"01119",1977,17181
"01119",1978,17264
"01119",1979,16869
"01119",1980,16919
"01119",1981,17056
"01121",1969,65169
"01121",1970,65169
"01121",1971,64747
"01121",1972,64994
